code,tramo,nivel,warehouse_id,location_type
GC-P3-C3-T12-N1,521,1,1,STORAGE
GC-P3-C3-T11-N9,520,1,1,STORAGE
GC-P3-C3-T11-N8,519,1,1,STORAGE
GC-P3-C3-T11-N7,518,1,1,STORAGE
GC-P3-C3-T11-N6,517,1,1,STORAGE
GC-P3-C3-T11-N5,516,1,1,STORAGE
GC-P3-C3-T11-N4,515,1,1,STORAGE
GC-P3-C3-T11-N3,514,1,1,STORAGE
GC-P3-C3-T11-N2,513,1,1,STORAGE
GC-P3-C3-T11-N13,512,1,1,STORAGE
GC-P3-C3-T11-N12,511,1,1,STORAGE
GC-P3-C3-T11-N11,510,1,1,STORAGE
GC-P3-C3-T11-N10,509,1,1,STORAGE
GC-P3-C3-T11-N1,508,1,1,STORAGE
GC-P3-C3-T10-N9,507,1,1,STORAGE
GC-P3-C3-T10-N8,506,1,1,STORAGE
GC-P3-C3-T10-N7,505,1,1,STORAGE
GC-P3-C3-T10-N6,504,1,1,STORAGE
